Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C2_Geracao,128,3840,04_KV_Attn,6,725.41,96.73,5.45
C2_Geracao,128,3840,05_KV_FFN,6,926.80,74.60,4.25
C2_Geracao,128,3840,06_Attn_FFN,6,819.64,89.44,4.80
C2_Geracao,128,3840,07_Tudo,6,1018.07,88.51,3.85
C2_Geracao,128,3840,00_Baseline,7,311.91,100.29,12.98
C2_Geracao,128,3840,01_KV,7,600.26,99.04,6.61
C2_Geracao,128,3840,02_Attn,7,464.77,103.29,8.59
C2_Geracao,128,3840,03_FFN,7,663.04,89.90,5.95
C2_Geracao,128,3840,04_KV_Attn,7,19.51,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,7,14.49,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,7,819.60,90.60,4.80
C2_Geracao,128,3840,07_Tudo,7,13.73,N/A,N/A
C2_Geracao,128,3840,00_Baseline,8,310.03,96.06,13.13
C2_Geracao,128,3840,01_KV,8,13.57,N/A,N/A
C2_Geracao,128,3840,02_Attn,8,16.70,N/A,N/A
C2_Geracao,128,3840,03_FFN,8,664.19,90.88,5.95
C2_Geracao,128,3840,04_KV_Attn,8,14.98,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,8,14.66,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,8,820.87,90.06,4.80
C2_Geracao,128,3840,07_Tudo,8,13.74,N/A,N/A
C2_Geracao,128,3840,00_Baseline,9,308.32,98.98,13.19
C2_Geracao,128,3840,01_KV,9,13.59,N/A,N/A
C2_Geracao,128,3840,02_Attn,9,16.62,N/A,N/A
C2_Geracao,128,3840,03_FFN,9,669.65,104.68,5.89
C2_Geracao,128,3840,04_KV_Attn,9,14.00,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,9,14.61,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,9,821.20,89.58,4.80
C2_Geracao,128,3840,07_Tudo,9,13.56,N/A,N/A
C2_Geracao,128,3840,00_Baseline,10,308.66,95.61,13.19
C2_Geracao,128,3840,01_KV,10,13.57,N/A,N/A
C2_Geracao,128,3840,02_Attn,10,16.58,N/A,N/A
C2_Geracao,128,3840,03_FFN,10,653.34,91.94,6.07
C2_Geracao,128,3840,04_KV_Attn,10,15.41,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,10,14.64,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,10,813.67,89.61,4.85
C2_Geracao,128,3840,07_Tudo,10,14.13,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,1,96.52,115.03,14.24
C3_Conversacao,1024,1024,01_KV,1,159.07,94.47,7.85
C3_Conversacao,1024,1024,02_Attn,1,138.52,120.28,9.03
C3_Conversacao,1024,1024,03_FFN,1,190.67,111.75,6.23
C3_Conversacao,1024,1024,04_KV_Attn,1,189.42,101.14,6.34
C3_Conversacao,1024,1024,05_KV_FFN,1,248.01,86.44,4.72
C3_Conversacao,1024,1024,06_Attn_FFN,1,233.95,107.84,4.94
C3_Conversacao,1024,1024,07_Tudo,1,300.13,78.43,3.86
C3_Conversacao,1024,1024,00_Baseline,2,99.15,117.97,13.67
C3_Conversacao,1024,1024,01_KV,2,148.18,93.52,8.51
C3_Conversacao,1024,1024,02_Attn,2,139.16,117.47,9.00
C3_Conversacao,1024,1024,03_FFN,2,190.78,107.02,6.25
C3_Conversacao,1024,1024,04_KV_Attn,2,217.13,97.62,5.43
C3_Conversacao,1024,1024,05_KV_FFN,2,264.55,89.00,4.38
C3_Conversacao,1024,1024,06_Attn_FFN,2,233.48,117.34,4.93
C3_Conversacao,1024,1024,07_Tudo,2,307.85,77.02,3.73
C3_Conversacao,1024,1024,00_Baseline,3,97.39,115.71,14.03
C3_Conversacao,1024,1024,01_KV,3,144.92,102.99,8.74
C3_Conversacao,1024,1024,02_Attn,3,137.23,130.80,8.99
C3_Conversacao,1024,1024,03_FFN,3,189.81,106.70,6.25
C3_Conversacao,1024,1024,04_KV_Attn,3,207.47,97.14,5.72
C3_Conversacao,1024,1024,05_KV_FFN,3,245.72,102.14,4.71
C3_Conversacao,1024,1024,06_Attn_FFN,3,234.50,107.63,4.94
C3_Conversacao,1024,1024,07_Tudo,3,380.72,66.00,2.98
C3_Conversacao,1024,1024,00_Baseline,4,95.62,111.02,14.22
C3_Conversacao,1024,1024,01_KV,4,169.04,107.23,7.30
C3_Conversacao,1024,1024,02_Attn,4,137.12,133.46,8.98
C3_Conversacao,1024,1024,03_FFN,4,189.62,118.08,6.21
C3_Conversacao,1024,1024,04_KV_Attn,4,208.82,110.37,5.64
C3_Conversacao,1024,1024,05_KV_FFN,4,261.79,91.17,4.43
C3_Conversacao,1024,1024,06_Attn_FFN,4,233.21,108.19,4.96
C3_Conversacao,1024,1024,07_Tudo,4,309.87,85.63,3.69
C3_Conversacao,1024,1024,00_Baseline,5,95.68,125.33,14.02
C3_Conversacao,1024,1024,01_KV,5,159.18,103.72,7.78
C3_Conversacao,1024,1024,02_Attn,5,137.26,118.27,9.05
C3_Conversacao,1024,1024,03_FFN,5,191.18,108.48,6.21
