Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C2_Geracao,128,3840,05_KV_FFN,3,944.29,80.83,4.16
C2_Geracao,128,3840,06_Attn_FFN,3,866.76,80.75,4.54
C2_Geracao,128,3840,07_Tudo,3,1104.30,80.52,3.55
C2_Geracao,128,3840,00_Baseline,4,394.03,85.33,10.17
C2_Geracao,128,3840,01_KV,4,615.51,85.96,6.44
C2_Geracao,128,3840,02_Attn,4,537.01,86.49,7.41
C2_Geracao,128,3840,03_FFN,4,718.53,81.66,5.48
C2_Geracao,128,3840,04_KV_Attn,4,759.66,87.32,5.19
C2_Geracao,128,3840,05_KV_FFN,4,943.06,81.32,4.17
C2_Geracao,128,3840,06_Attn_FFN,4,865.67,80.98,4.54
C2_Geracao,128,3840,07_Tudo,4,1102.99,80.81,3.55
C2_Geracao,128,3840,00_Baseline,5,394.83,85.64,10.18
C2_Geracao,128,3840,01_KV,5,616.49,86.40,6.44
C2_Geracao,128,3840,02_Attn,5,536.51,87.18,7.42
C2_Geracao,128,3840,03_FFN,5,719.41,81.49,5.47
C2_Geracao,128,3840,04_KV_Attn,5,760.85,86.91,5.18
C2_Geracao,128,3840,05_KV_FFN,5,945.01,81.42,4.16
C2_Geracao,128,3840,06_Attn_FFN,5,866.58,81.19,4.54
C2_Geracao,128,3840,07_Tudo,5,1104.50,80.80,3.55
C2_Geracao,128,3840,00_Baseline,6,395.72,85.31,10.16
C2_Geracao,128,3840,01_KV,6,617.00,86.08,6.43
C2_Geracao,128,3840,02_Attn,6,536.30,87.20,7.40
C2_Geracao,128,3840,03_FFN,6,721.87,81.14,5.47
C2_Geracao,128,3840,04_KV_Attn,6,760.11,87.18,5.20
C2_Geracao,128,3840,05_KV_FFN,6,927.98,81.22,4.24
C2_Geracao,128,3840,06_Attn_FFN,6,867.39,81.05,4.53
C2_Geracao,128,3840,07_Tudo,6,1097.42,80.75,3.57
C2_Geracao,128,3840,00_Baseline,7,395.07,85.79,10.14
C2_Geracao,128,3840,01_KV,7,613.84,86.09,6.47
C2_Geracao,128,3840,02_Attn,7,536.98,86.49,7.41
C2_Geracao,128,3840,03_FFN,7,721.64,81.52,5.47
C2_Geracao,128,3840,04_KV_Attn,7,18.85,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,7,14.14,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,7,867.04,81.03,4.53
C2_Geracao,128,3840,07_Tudo,7,15.18,N/A,N/A
C2_Geracao,128,3840,00_Baseline,8,396.74,85.22,10.14
C2_Geracao,128,3840,01_KV,8,14.92,N/A,N/A
C2_Geracao,128,3840,02_Attn,8,17.14,N/A,N/A
C2_Geracao,128,3840,03_FFN,8,723.35,81.46,5.46
C2_Geracao,128,3840,04_KV_Attn,8,15.62,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,8,15.16,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,8,868.47,81.07,4.53
C2_Geracao,128,3840,07_Tudo,8,15.06,N/A,N/A
C2_Geracao,128,3840,00_Baseline,9,394.38,85.19,10.20
C2_Geracao,128,3840,01_KV,9,15.03,N/A,N/A
C2_Geracao,128,3840,02_Attn,9,17.11,N/A,N/A
C2_Geracao,128,3840,03_FFN,9,723.38,81.47,5.46
C2_Geracao,128,3840,04_KV_Attn,9,15.62,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,9,15.22,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,9,869.63,81.15,4.52
C2_Geracao,128,3840,07_Tudo,9,14.10,N/A,N/A
C2_Geracao,128,3840,00_Baseline,10,397.15,84.78,10.13
C2_Geracao,128,3840,01_KV,10,15.07,N/A,N/A
C2_Geracao,128,3840,02_Attn,10,17.55,N/A,N/A
C2_Geracao,128,3840,03_FFN,10,719.00,81.79,5.50
C2_Geracao,128,3840,04_KV_Attn,10,15.75,N/A,N/A
C2_Geracao,128,3840,05_KV_FFN,10,15.24,N/A,N/A
C2_Geracao,128,3840,06_Attn_FFN,10,867.35,81.70,4.55
C2_Geracao,128,3840,07_Tudo,10,15.41,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,1,122.92,70.17,11.13
C3_Conversacao,1024,1024,01_KV,1,168.15,64.97,7.58
C3_Conversacao,1024,1024,02_Attn,1,161.66,74.07,7.84
C3_Conversacao,1024,1024,03_FFN,1,209.84,70.38,5.77
C3_Conversacao,1024,1024,04_KV_Attn,1,206.58,69.23,5.89
C3_Conversacao,1024,1024,05_KV_FFN,1,256.54,64.30,4.64
C3_Conversacao,1024,1024,06_Attn_FFN,1,251.17,70.55,4.70
C3_Conversacao,1024,1024,07_Tudo,1,300.36,65.58,3.87
C3_Conversacao,1024,1024,00_Baseline,2,122.93,69.87,11.11
C3_Conversacao,1024,1024,01_KV,2,169.51,64.29,7.58
C3_Conversacao,1024,1024,02_Attn,2,161.32,73.97,7.86
C3_Conversacao,1024,1024,03_FFN,2,209.67,70.32,5.78
C3_Conversacao,1024,1024,04_KV_Attn,2,207.38,70.28,5.90
C3_Conversacao,1024,1024,05_KV_FFN,2,256.13,66.66,4.64
C3_Conversacao,1024,1024,06_Attn_FFN,2,251.04,70.74,4.70
C3_Conversacao,1024,1024,07_Tudo,2,301.11,67.48,3.87
C3_Conversacao,1024,1024,00_Baseline,3,121.07,70.33,11.15
C3_Conversacao,1024,1024,01_KV,3,168.41,68.33,7.58
C3_Conversacao,1024,1024,02_Attn,3,161.46,74.17,7.85
C3_Conversacao,1024,1024,03_FFN,3,209.93,70.15,5.77
C3_Conversacao,1024,1024,04_KV_Attn,3,207.21,72.02,5.90
C3_Conversacao,1024,1024,05_KV_FFN,3,255.88,66.93,4.64
C3_Conversacao,1024,1024,06_Attn_FFN,3,251.13,70.86,4.70
C3_Conversacao,1024,1024,07_Tudo,3,302.19,63.22,3.87
C3_Conversacao,1024,1024,00_Baseline,4,122.63,70.06,11.15
C3_Conversacao,1024,1024,01_KV,4,168.26,64.09,7.57
C3_Conversacao,1024,1024,02_Attn,4,161.28,73.89,7.87
C3_Conversacao,1024,1024,03_FFN,4,209.68,70.42,5.78
C3_Conversacao,1024,1024,04_KV_Attn,4,208.00,68.66,5.89
C3_Conversacao,1024,1024,05_KV_FFN,4,257.04,62.57,4.64
C3_Conversacao,1024,1024,06_Attn_FFN,4,251.24,70.87,4.70
C3_Conversacao,1024,1024,07_Tudo,4,301.57,66.39,3.86
C3_Conversacao,1024,1024,00_Baseline,5,122.56,69.52,11.17
C3_Conversacao,1024,1024,01_KV,5,169.79,62.92,7.58
C3_Conversacao,1024,1024,02_Attn,5,161.45,74.04,7.85
C3_Conversacao,1024,1024,03_FFN,5,209.46,69.94,5.78
C3_Conversacao,1024,1024,04_KV_Attn,5,207.64,70.45,5.89
C3_Conversacao,1024,1024,05_KV_FFN,5,256.54,64.48,4.64
C3_Conversacao,1024,1024,06_Attn_FFN,5,251.08,70.44,4.70
C3_Conversacao,1024,1024,07_Tudo,5,300.09,66.74,3.87
C3_Conversacao,1024,1024,00_Baseline,6,121.72,70.45,11.15
C3_Conversacao,1024,1024,01_KV,6,169.32,65.06,7.58
C3_Conversacao,1024,1024,02_Attn,6,160.11,73.53,7.85
C3_Conversacao,1024,1024,03_FFN,6,208.23,70.48,5.77
C3_Conversacao,1024,1024,04_KV_Attn,6,207.75,70.18,5.90
C3_Conversacao,1024,1024,05_KV_FFN,6,253.37,65.22,4.70
C3_Conversacao,1024,1024,06_Attn_FFN,6,251.24,70.36,4.70
C3_Conversacao,1024,1024,07_Tudo,6,299.48,67.47,3.89
C3_Conversacao,1024,1024,00_Baseline,7,122.44,69.69,11.15
C3_Conversacao,1024,1024,01_KV,7,168.08,67.06,7.64
C3_Conversacao,1024,1024,02_Attn,7,161.63,74.23,7.86
C3_Conversacao,1024,1024,03_FFN,7,208.28,68.86,5.78
C3_Conversacao,1024,1024,04_KV_Attn,7,18.91,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,7,14.07,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,7,251.69,70.55,4.70
C3_Conversacao,1024,1024,07_Tudo,7,14.55,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,8,123.19,69.63,11.12
C3_Conversacao,1024,1024,01_KV,8,15.14,N/A,N/A
C3_Conversacao,1024,1024,02_Attn,8,17.20,N/A,N/A
